summons_number,street_codes,house_number,source_street_name,violation_location,violation_precinct,precinct_borough,violation_location_borough,candidate_method,candidate_boroughs,display_valid_boroughs,validated_boroughs,suggested_borough,status,confidence,validation_method,geosupport_street_names,street_name_similarity,latitude,longitude,candidate_details,parsed_on_street,parsed_cross_street,name_valid_boroughs,intersection_valid_boroughs,review_suggested_borough,review_confidence,review_method
5604648383,73120,,EB W 178th St @ Fort,,0,,,exact_code_tuple_ranked,Bronx|Manhattan|Brooklyn|Queens|Staten Island,Bronx|Brooklyn,Bronx|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""WASHINGTON AVENUE""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""RANDOLPH STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Queens"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",W 178TH ST,FORT,Bronx,,Bronx,medium,parsed_street_function_1n
5604608324,73120,,EB W 178th St @ Fort,,0,,,exact_code_tuple_ranked,Bronx|Manhattan|Brooklyn|Queens|Staten Island,Bronx|Brooklyn,Bronx|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""WASHINGTON AVENUE""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""RANDOLPH STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Queens"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",W 178TH ST,FORT,Bronx,,Bronx,medium,parsed_street_function_1n
5604640244,74450,,SB University Ave @,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,Bronx|Brooklyn,Bronx|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""WEST  175 STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""RYDER STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",UNIVERSITY AVE,,Bronx,,Bronx,medium,parsed_street_function_1n
5604616084,15920,,SB White Plains Rd @,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,Bronx|Brooklyn,Bronx|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""BRUCKNER BOULEVARD""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""BAY AVENUE""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",WHITE PLAINS RD,,Bronx,,Bronx,medium,parsed_street_function_1n
1494541725,21140|51090|18040,87-29,118 STREET,,0,,,exact_code_tuple_ranked,Queens|Manhattan|Bronx|Brooklyn|Staten Island,Queens|Brooklyn|Staten Island,Queens|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Queens"",""display_ok"":true,""street_names"":[""118 STREET"",""JAMAICA AVENUE"",""89 AVENUE""],""location_ok"":true,""validation_method"":""address_1e"",""latitude"":""40.699327"",""longitude"":""-73.831555"",""grc"":""00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""","""",""EAST   52 ST EXTENSION""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;00;64""},{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""","""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64;64""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""BRIDGEWATER STREET"","""",""""],""location_ok"":true,""validation_method"":""address_1e"",""latitude"":""40.728004"",""longitude"":""-73.937918"",""grc"":""01""},{""borough"":""Staten Island"",""display_ok"":true,""street_names"":[""CAMBRIA STREET"","""",""BEACON AVENUE""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;64;00;00""}]",118 STREET,,Queens,,Queens,medium,parsed_street_function_1n
5604646738,15920,,SB White Plains Rd @,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,Bronx|Brooklyn,Bronx|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""BRUCKNER BOULEVARD""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""BAY AVENUE""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",WHITE PLAINS RD,,Bronx,,Bronx,medium,parsed_street_function_1n
5604505444,74450,,SB University Ave @,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,Bronx|Brooklyn,Bronx|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""WEST  175 STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""RYDER STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",UNIVERSITY AVE,,Bronx,,Bronx,medium,parsed_street_function_1n
5604498774,23130,,SB Webster Ave @ For,,0,,,exact_code_tuple_ranked,Brooklyn|Manhattan|Queens|Bronx|Staten Island,Brooklyn|Manhattan|Queens|Bronx,Brooklyn|Manhattan|Queens|Bronx,,ambiguous,,,,0.0,,,"[{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""BRISTOL STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":true,""street_names"":[""HOWARD STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Queens"",""display_ok"":true,""street_names"":[""148 ROAD""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""D STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",WEBSTER AVE,FOR,Brooklyn|Bronx,,,,still_ambiguous
5604540213,73120,,EB W 178th St @ Fort,,0,,,exact_code_tuple_ranked,Bronx|Manhattan|Brooklyn|Queens|Staten Island,Bronx|Brooklyn,Bronx|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""WASHINGTON AVENUE""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""RANDOLPH STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Queens"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",W 178TH ST,FORT,Bronx,,Bronx,medium,parsed_street_function_1n
5604561526,73120,,EB W 178th St @ Fort,,0,,,exact_code_tuple_ranked,Bronx|Manhattan|Brooklyn|Queens|Staten Island,Bronx|Brooklyn,Bronx|Brooklyn,,ambiguous,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":true,""street_names"":[""WASHINGTON AVENUE""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Brooklyn"",""display_ok"":true,""street_names"":[""RANDOLPH STREET""],""location_ok"":false,""validation_method"":""function_d"",""latitude"":"""",""longitude"":"""",""grc"":""00;00""},{""borough"":""Queens"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":[""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64""}]",W 178TH ST,FORT,Bronx,,Bronx,medium,parsed_street_function_1n
