weather_date,weather_code,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,weather_condition
2000-06-03,3,23.0,15.3,0.0,24.3,Overcast
2000-06-04,3,21.5,12.0,0.0,17.0,Overcast
2000-06-05,3,18.0,13.1,0.0,21.2,Overcast
2000-06-06,63,13.9,10.9,23.7,24.5,Moderate rain
2000-06-07,61,21.5,9.5,8.2,27.8,Slight rain
2000-06-08,3,24.1,12.3,0.0,16.1,Overcast
2000-06-09,3,29.8,16.7,0.0,18.1,Overcast
2000-06-10,0,31.9,19.0,0.0,16.3,Clear sky
2000-06-11,3,32.7,20.6,0.0,15.2,Overcast
2000-06-12,61,24.8,14.2,8.8,15.5,Slight rain
2000-06-13,61,16.5,13.8,4.6,14.6,Slight rain
2000-06-14,55,16.6,13.4,3.1,13.3,Dense drizzle
2000-06-15,3,24.2,15.0,0.0,11.3,Overcast
2000-06-16,51,28.9,20.5,0.2,17.6,Light drizzle
2000-06-17,63,30.6,22.5,4.3,18.8,Moderate rain
2000-06-18,61,21.8,19.3,6.7,11.3,Slight rain
2000-06-19,51,21.6,17.4,0.3,13.1,Light drizzle
2000-06-20,3,26.5,14.2,0.0,11.3,Overcast
2000-06-21,3,26.3,17.2,0.0,24.6,Overcast
2000-06-22,63,27.3,19.8,5.0,16.3,Moderate rain
2000-06-23,3,26.0,18.5,0.0,15.3,Overcast
2000-06-24,3,27.5,17.9,0.0,15.4,Overcast
2000-06-25,3,30.2,19.7,0.0,21.3,Overcast
2000-06-26,63,30.4,21.7,16.6,14.1,Moderate rain
2000-06-27,63,30.2,22.2,5.4,20.9,Moderate rain
2000-06-28,53,25.8,18.5,1.2,13.3,Moderate drizzle
2000-06-29,51,22.8,17.8,0.4,9.7,Light drizzle
2000-06-30,1,24.6,17.0,0.0,15.4,Mainly clear
2000-07-01,3,25.7,15.5,0.0,7.7,Overcast
2000-07-02,2,29.0,16.4,0.0,10.9,Partly cloudy
2000-07-03,53,29.0,18.7,2.2,12.1,Moderate drizzle
2000-07-04,51,27.4,20.8,0.2,10.8,Light drizzle
2000-07-05,2,28.5,19.5,0.0,16.7,Partly cloudy
2000-07-06,2,25.0,16.3,0.0,12.8,Partly cloudy
2000-07-07,2,23.7,16.6,0.0,20.1,Partly cloudy
2000-07-08,3,25.0,14.4,0.0,16.6,Overcast
2000-07-09,3,28.3,14.3,0.0,17.4,Overcast
2000-07-10,51,31.5,22.2,0.2,20.8,Light drizzle
