normalized_description,borough,confidence,confirmation_note
101 STREET,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
10TH AVE,Manhattan,medium,Most likely Manhattan's 10th Avenue; Brooklyn also has a 10th Avenue.
116-43 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
117 ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
118 RD,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
118 STREET,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
135 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
135 AVENUE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
147 PL,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
147 ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
148 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
148 AVENUE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
153 ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
193 ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
214 PL,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
227 ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
240 ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
33 PRECINCT STATIONH,Manhattan,high,"Distinctive Manhattan street, intersection, or landmark."
37 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
45 ROAD,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
49 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
53 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
63 DRIVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
75 AV,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
77 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
86 RD,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
87 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
87 RD,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
91 AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
91 RD,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
ADAMS,Brooklyn,medium,Most likely Adams Street in Downtown Brooklyn; the description omits the street type/cross street.
ALASKA ST,Staten Island,high,Distinctive Staten Island street.
ALLENDALE ST,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
AMITY PL,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
ARCHER AVE,Queens,high,"Distinctive Queens street-number pattern, street, station, or airport terminal."
ARTHUR AVE,Bronx,high,"Distinctive Bronx street, intersection, or landmark."
